Trade_Date,RESOURCE_NAME,Delivery_Date,PQ,DELIVERY_TIME,EA MSQ,MSQ,RCUC MSQ,PN,MG,QD,Imbalance
04/01/2017,GU_400530,04/01/2017,50,19:00,271.63,330,366,347.4,366.02,347.4,17.4
04/01/2017,GU_400530,04/01/2017,50,19:30,200,330,366,330,367,326.667,0
04/01/2017,GU_400530,04/01/2017,50,20:00,194,330,366,330,344.6,198.86,0
04/01/2017,GU_400530,04/01/2017,50,20:30,0,330,218.137,330,322.22,26.997,0
04/01/2017,GU_400530,04/01/2017,50,21:00,0,306.025,0,306.025,196.06,0,0
04/01/2017,GU_400530,04/01/2017,50,21:30,0,197.739,0,197.739,40,0,0
04/01/2017,GU_400530,04/01/2017,50,22:00,0,194,0,194,0,0,0
04/01/2017,GU_400530,04/01/2017,50,22:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,04/01/2017,50,23:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,04/01/2017,50,23:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,00:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,00:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,01:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,01:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,02:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,02:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,03:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,03:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,04:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,04:30,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,05:00,0,0,0,0,0,0,0
04/01/2017,GU_400530,05/01/2017,50,05:30,0,0,0,0,0,0,0
